CUENTASCONTABLES,ID,uniqueidentifier
CUENTASCONTABLES,BO_PLACE_ID,uniqueidentifier
CUENTASCONTABLES,BO_OWNER_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE1_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE2_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE3_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE4_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE5_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE6_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE7_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE8_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE9_ID,uniqueidentifier
CUENTASCONTABLES,CUENTACONTABLE10_ID,uniqueidentifier
CUENTASCONTABLES,BOEXTENSION_ID,uniqueidentifier
CUENTASCONTABLES,CUENTASCONTABLES_ID,uniqueidentifier
CUENTASCONTABLES,ESQUEMAOPERATIVO_ID,uniqueidentifier
CUENTASCONTABLES,NOMBRECUENTA,varchar
CUENTASCONTABLES,NOMBRECUENTA2,varchar
CUENTASCONTABLES,NOMBRECUENTA3,varchar
CUENTASCONTABLES,NOMBRECUENTA4,varchar
CUENTASCONTABLES,NOMBRECUENTA5,varchar
CUENTASCONTABLES,NOMBRECUENTA6,varchar
CUENTASCONTABLES,NOMBRECUENTA7,varchar
CUENTASCONTABLES,NOMBRECUENTA8,varchar
CUENTASCONTABLES,NOMBRECUENTA9,varchar
CUENTASCONTABLES,NOMBRECUENTA10,varchar
CUENTASCONTABLES,NOMBRECUENTA1,varchar
CUENTASCONTABLES,NOMBREEO,varchar
FACTURACOMPRA,ID,uniqueidentifier
FACTURACOMPRA,BO_PLACE_ID,uniqueidentifier
FACTURACOMPRA,BO_OWNER_ID,uniqueidentifier
FACTURACOMPRA,FECHAACTUAL,varchar
FACTURACOMPRA,NUMERODOCUMENTO,int
FACTURACOMPRA,TRANSACCION_ID,uniqueidentifier
FACTURACOMPRA,CENTROCOSTOS_ID,uniqueidentifier
FACTURACOMPRA,ITEMSIMPRIMIBLES_ID,uniqueidentifier
FACTURACOMPRA,BUILDERITEMSIMPRIMIBLES_ID,uniqueidentifier
FACTURACOMPRA,ORIGINANTE_ID,uniqueidentifier
FACTURACOMPRA,DESTINATARIO_ID,uniqueidentifier
FACTURACOMPRA,DOMICILIO_ID,uniqueidentifier
FACTURACOMPRA,LISTAPRECIO_ID,uniqueidentifier
FACTURACOMPRA,FECHAVENCIMIENTO,varchar
FACTURACOMPRA,DESCUENTO_ID,uniqueidentifier
FACTURACOMPRA,SUBTOTAL_ID,uniqueidentifier
FACTURACOMPRA,IVA_ID,uniqueidentifier
FACTURACOMPRA,IVANOINSCRIPTO_ID,uniqueidentifier
FACTURACOMPRA,EXENTO_ID,uniqueidentifier
FACTURACOMPRA,TOTAL_ID,uniqueidentifier
FACTURACOMPRA,FECHAENTREGA,varchar
ITEMFACTURACOMPRA,ID,uniqueidentifier
ITEMFACTURACOMPRA,CUENTACONTABLE_ID,uniqueidentifier
ITEMFACTURACOMPRA,COSTO,decimal
ITEMFACTURACOMPRA,FECHAREGISTRO,varchar
ITEMFACTURACOMPRA,BULTOS,int
ITEMFACTURACOMPRA,DEPOSITOORI_ID,uniqueidentifier
ITEMFACTURACOMPRA,DEPOSITODES_ID,uniqueidentifier
ITEMFACTURACOMPRA,DESPACHO_ID,uniqueidentifier
ITEMFACTURACOMPRA,UBICACIONORI_ID,uniqueidentifier
ITEMFACTURACOMPRA,UBICACIONDES_ID,uniqueidentifier
ITEMFACTURACOMPRA,PESO,decimal
ITEMFACTURACOMPRA,VOLUMEN,decimal
ITEMFACTURACOMPRA,KIT_ID,uniqueidentifier
ITEMFACTURACOMPRA,LISTAPRECIO_ID,uniqueidentifier
ITEMFACTURACOMPRA,PORCENTAJEBONIFICACION,decimal
ITEMFACTURACOMPRA,COMPROMISOPAGO_ID,uniqueidentifier
ITEMFACTURACOMPRA,IMPORTEBONIFICACION_ID,uniqueidentifier
ITEMFACTURACOMPRA,FECHAENTREGA,varchar
ITEMFACTURACOMPRA,IMPORTEDESCUENTO_ID,uniqueidentifier
ITEMFACTURACOMPRA,CANTBONI2_CANTIDAD,decimal
ITEMFACTURACOMPRA,CANTBONI2_UNIDADMEDIDA_ID,uniqueidentifier
ITEMFACTURACOMPRA,IMPBONI2_IMPORTE,decimal
ITEMFACTURACOMPRA,IMPBONI2_UNIDADVALORIZACION_ID,uniqueidentifier
ITEMFACTURACOMPRA,IMPBONI2_MOMENTO,varchar
ITEMFACTURACOMPRA,IMPBONI2_NOMBRE,varchar
ITEMFACTURACOMPRA,IMPDESC2_IMPORTE,decimal
ITEMFACTURACOMPRA,IMPDESC2_UNIDADVALORIZACION_ID,uniqueidentifier
ITEMFACTURACOMPRA,IMPDESC2_MOMENTO,varchar
ITEMFACTURACOMPRA,IMPDESC2_NOMBRE,varchar
ITEMFACTURACOMPRA,DOMICILIO_ID,uniqueidentifier
ITEMFACTURACOMPRA,CODIGOALTERNATIVO_ID,uniqueidentifier
ITEMFACTURACOMPRA,IMPORTEBONIFICADO,decimal
ITEMFACTURACOMPRA,LOTE_ID,uniqueidentifier
ITEMFACTURACOMPRA,SERIE_ID,uniqueidentifier
ITEMFACTURACOMPRA,DATOSCOMPLEMENTARIOS_ID,uniqueidentifier
ITEMFACTURACOMPRA,CANTIDAD_ID,uniqueidentifier
ITEMFACTURACOMPRA,VALOR_ID,uniqueidentifier
ITEMFACTURACOMPRA,CANTIDADNOLINEAL_ID,uniqueidentifier
ITEMFACTURACOMPRA,TOTAL_ID,uniqueidentifier
ITEMFACTURACOMPRA,UNIDADMEDIDA_ID,uniqueidentifier
ITEMFACTURACOMPRA,UNIDADMEDIDANOLINEAL_ID,uniqueidentifier
ITEMFACTURACOMPRA,REFERENCIATIPO_ID,uniqueidentifier
ITEMFACTURACOMPRA,TOTALSINDESCUENTOS,decimal
ITEMFACTURACOMPRA,CANTIDAD2_CANTIDAD,decimal
ITEMFACTURACOMPRA,CANTIDAD2_UNIDADMEDIDA_ID,uniqueidentifier
ITEMFACTURACOMPRA,VALOR2_IMPORTE,decimal
ITEMFACTURACOMPRA,VALOR2_UNIDADVALORIZACION_ID,uniqueidentifier
ITEMFACTURACOMPRA,VALOR2_MOMENTO,varchar
ITEMFACTURACOMPRA,VALOR2_NOMBRE,varchar
ITEMFACTURACOMPRA,CNOLINEAL2_CANTIDAD,decimal
ITEMFACTURACOMPRA,CNOLINEAL2_UNIDADMEDIDA_ID,uniqueidentifier
ITEMFACTURACOMPRA,TOTAL2_IMPORTE,decimal
ITEMFACTURACOMPRA,TOTAL2_UNIDADVALORIZACION_ID,uniqueidentifier
ITEMFACTURACOMPRA,TOTAL2_MOMENTO,varchar
ITEMFACTURACOMPRA,TOTAL2_NOMBRE,varchar
ITEMFACTURACOMPRA,REFERENCIA_ID,uniqueidentifier
ITEMFACTURACOMPRA,DESCRIPCION,varchar
ITEMFACTURACOMPRA,MECANISMOSCALCULOITEMTR_ID,uniqueidentifier
ITEMFACTURACOMPRA,PLACEOWNER_ID,uniqueidentifier
ITEMFACTURACOMPRA,DETALLE,varchar
ITEMFACTURACOMPRA,IMPUESTOSITEMTRANSACCION_ID,uniqueidentifier
ITEMFACTURACOMPRA,IMPUTACIONCONTABLE_ID,uniqueidentifier
ITEMFACTURACOMPRA,OBSERVACION_ID,uniqueidentifier
ITEMFACTURACOMPRA,CENTROCOSTOS_ID,uniqueidentifier
ITEMFACTURACOMPRA,ITEMPENDIENTE_ID,uniqueidentifier
ITEMFACTURACOMPRA,CANCELACION_ID,uniqueidentifier
ITEMFACTURACOMPRA,INFRA,decimal
ITEMFACTURACOMPRA,SUPRA,decimal
ITEMFACTURACOMPRA,TIPOTRANSACCION_ID,uniqueidentifier
ITEMFACTURACOMPRA,MOMENTOTR,varchar
ITEMFACTURACOMPRA,NUMERODOCUMENTO,varchar
ITEMFACTURACOMPRA,FECHADOCUMENTO,varchar
ITEMFACTURACOMPRA,NOMBREORIGINANTETR,varchar
ITEMFACTURACOMPRA,NOMBREDESTINATARIOTR,varchar
ITEMFACTURACOMPRA,ORIGINANTETR_ID,uniqueidentifier
ITEMFACTURACOMPRA,DESTINATARIOTR_ID,uniqueidentifier
ITEMFACTURACOMPRA,COMPANIA_ID,uniqueidentifier
ITEMFACTURACOMPRA,UNIDADOPERATIVA_ID,uniqueidentifier
ITEMFACTURACOMPRA,NOMBRETR,varchar
ITEMFACTURACOMPRA,ESTADOTR,varchar
ITEMFACTURACOMPRA,NOMBREREFERENCIA,varchar
ITEMFACTURACOMPRA,TOTALTR,decimal
ITEMFACTURACOMPRA,NOMBRETOTALTR,varchar
